type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 4.8204293251037598, ""confidence"": 0.99190002679824807 }",47,3,0.9207,3.0,159.24752070942722,51.19371011432246,435812.5160261358,4462152.236312835,248.82826924449074,64.27543740035972,0.79656,3,1
Feature,"{ ""height"": 3.777925968170166, ""confidence"": 0.98269999027252208 }",63,3,0.9171,3.0,155.2205832939965,53.70134511802554,435908.4951986336,4462139.360984926,291.6916329795587,69.04957155489485,0.7933600000000001,3,1
Feature,"{ ""height"": 6.4823513031005859, ""confidence"": 0.96859997510910012 }",69,2,0.929,2.0,368.0495746058589,89.9017575087689,437217.5567611332,4462260.362294067,1534.9972922776606,161.08916790021357,0.72284,2,3
Feature,"{ ""height"": 0.025000000372529002, ""confidence"": 0.95990002155303911 }",71,3,0.9274,3.0,349.8771769620768,76.91289223332086,436836.9154875368,4460963.658571448,187.2235059166185,59.11218206647186,0.8973600000000002,3,3
Feature,"{ ""height"": 4.3161487579345703, ""confidence"": 0.97530001401901212 }",76,3,0.9144,3.0,219.88057647471396,63.563178030351565,435982.0584569054,4460870.49562445,178.58532473052637,54.91496873136005,0.9033000000000001,3,4
Feature,"{ ""height"": 2.7532467842102051, ""confidence"": 0.93709999322891202 }",148,3,0.892,3.0,7.630133877360846,11.10536162946144,436255.15356556047,4461075.87175682,203.48721267789153,59.97315746138054,0.92172,3,4
Feature,"{ ""height"": 2.9864616394042969, ""confidence"": 0.98970001935958807 }",169,3,0.8813,3.0,252.3792162894475,76.35684407159358,436620.6879911492,4461103.432988036,202.24329863987603,59.2508175092913,0.8427,3,3
Feature,"{ ""height"": 4.9363822937011719, ""confidence"": 0.99390000104904108 }",194,3,0.9106,2.0,151.3015066840246,52.73843098427673,437354.3354817063,4460738.358205104,339.6908056512072,73.16614684463,0.86226,3,3
Feature,"{ ""height"": 0.94051826000213612, ""confidence"": 0.99680000543594305 }",225,3,0.9076,3.0,176.09541915277745,54.88211792162651,435693.689169897,4460863.475587696,189.06732317511995,56.83343130952085,0.91056,3,4
Feature,"{ ""height"": 6.9976406097412109, ""confidence"": 0.97810000181198109 }",243,2,0.8872,3.0,2062.1980236132695,189.40692816587548,437989.1870578142,4461088.722054093,505.3421859278113,97.05114938898696,0.62774,0,2
Feature,"{ ""height"": 0.12087389826774501, ""confidence"": 0.9890999794006341 }",263,3,0.9225,3.0,218.03139437243095,60.46851511662226,435623.9806005585,4460637.772755982,155.05631580882275,51.24695916743203,0.8958999999999999,3,4
Feature,"{ ""height"": 1.5378632545471191, ""confidence"": 0.96030002832412709 }",269,3,0.769,2.0,126.45696492873785,46.75788054832393,436834.74193613266,4461592.590650574,167.7094251193264,52.69059328627905,0.9107200000000001,3,3
Feature,"{ ""height"": 0.91509431600570612, ""confidence"": 0.99110001325607311 }",301,3,0.9222,3.0,197.99013409337596,59.90232084397001,435851.0727863925,4460969.606064462,188.9436361730347,56.67775762154531,0.9097799999999999,3,4
Feature,"{ ""height"": 0.148363247513771, ""confidence"": 0.98940002918243408 }",303,3,0.8803,3.0,293.8045749334101,71.68593488400623,435784.90122370666,4461301.654456969,266.23548134049145,71.56136982821234,0.90758,3,4
Feature,"{ ""height"": 0.99049127101898105, ""confidence"": 0.98600000143051103 }",320,3,0.9184,3.0,195.94330057285904,61.827492354773625,437079.9322776085,4461242.629261836,165.8211782047008,53.09660951632052,0.9071199999999999,3,3
Feature,"{ ""height"": 5.8317017555236816, ""confidence"": 0.99150002002716009 }",323,3,0.8526,3.0,163.86933322723078,53.88394693273406,436742.9880866946,4461247.26917002,203.2732061842,59.37476411348287,0.8170400000000001,3,3
Feature,"{ ""height"": 0.80237156152725209, ""confidence"": 0.99930000305175704 }",378,3,0.8945,2.0,157.20500485795773,52.92954064867284,437129.876552988,4461148.181568164,172.98050804584312,54.883295476356466,0.9040199999999998,3,3
Feature,"{ ""height"": 5.6371145248413095, ""confidence"": 0.98280000686645508 }",409,3,0.9157,2.0,401.04348895228645,84.41772850880683,436838.8536103308,4460249.192613531,199.09402261963092,59.46194612384661,0.8878599999999999,3,4
Feature,"{ ""height"": 3.2037365436553951, ""confidence"": 0.97149997949600209 }",472,3,0.9179,2.0,116.2631943286634,43.17181861740747,436487.0269357894,4462139.451384638,270.8083472687861,72.23543210680778,0.7807600000000001,3,1
