Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
10023.png,3,Residential,0.7338,0.533488,0.912609,0.41215,0.166659
10023.png,3,Residential,0.5888,0.503712,0.485661,0.499892,0.229204
10024.png,2,Commercial,0.9546,0.4264,0.624236,0.814971,0.746757
10038.png,2,Commercial,0.8296,0.876292,0.498521,0.247416,0.997042
10038.png,3,Residential,0.7885,0.449304,0.875128,0.51633,0.249745
10038.png,2,Commercial,0.5252,0.459862,0.502196,0.471526,0.390015
10062.png,3,Residential,0.8863,0.500789,0.514654,0.424056,0.410276
10062.png,3,Residential,0.876,0.431086,0.897512,0.607355,0.19942
10062.png,3,Residential,0.8179,0.506687,0.108947,0.466538,0.217894
10069.png,3,Residential,0.8865,0.38928,0.12459,0.520864,0.249179
10111.png,3,Residential,0.9108,0.473204,0.531251,0.454317,0.37154
10111.png,3,Residential,0.6779,0.55601,0.139549,0.528185,0.276997
10114.png,2,Commercial,0.8606,0.492449,0.488396,0.457503,0.50627
1013.png,3,Residential,0.897,0.470278,0.509254,0.424104,0.426723
1013.png,3,Residential,0.8592,0.465038,0.924107,0.492294,0.151218
10141.png,3,Residential,0.8733,0.46494,0.525078,0.364624,0.458229
10141.png,3,Residential,0.8136,0.934133,0.490566,0.131734,0.305147
10176.png,3,Residential,0.8057,0.53345,0.644586,0.461876,0.591436
10180.png,3,Residential,0.7811,0.397315,0.517005,0.405103,0.257921
10180.png,3,Residential,0.7454,0.356754,0.847165,0.567591,0.30041
10180.png,3,Residential,0.5103,0.357767,0.678066,0.570216,0.643869
10201.png,2,Commercial,0.6307,0.461662,0.581918,0.346554,0.422581
10202.png,2,Commercial,0.9423,0.47223,0.501568,0.496359,0.594168
10202.png,2,Commercial,0.5892,0.917119,0.239068,0.165763,0.478137
10208.png,3,Residential,0.7973,0.461751,0.507231,0.366683,0.502649
10224.png,3,Residential,0.853,0.467396,0.544827,0.410319,0.417736
10224.png,3,Residential,0.8509,0.860755,0.583281,0.278489,0.465859
10226.png,3,Residential,0.8258,0.516135,0.535724,0.440942,0.34378
10226.png,3,Residential,0.5649,0.386068,0.181495,0.570416,0.313212
10230.png,3,Residential,0.8353,0.363139,0.834867,0.546954,0.330265
