Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1078.png,3,Residential,0.8702,0.879471,0.514199,0.24022,0.248956
1078.png,3,Residential,0.8463,0.451141,0.469826,0.407853,0.312504
1078.png,3,Residential,0.8242,0.077771,0.499232,0.155542,0.304006
1149.png,3,Residential,0.9036,0.503895,0.501557,0.442788,0.40893
1149.png,3,Residential,0.8046,0.136837,0.493054,0.272363,0.516976
1173.png,0,Apartment,0.699,0.44957,0.591924,0.338746,0.798415
1173.png,0,Apartment,0.3205,0.417062,0.101987,0.386201,0.203456
1173.png,3,Residential,0.2499,0.421314,0.103889,0.388071,0.207627
1211.png,3,Residential,0.8631,0.861974,0.786553,0.276052,0.426624
1211.png,3,Residential,0.7093,0.318902,0.07692,0.448398,0.153839
1211.png,3,Residential,0.2402,0.260352,0.917385,0.507533,0.164445
1251.png,3,Residential,0.6871,0.313915,0.245555,0.62783,0.366376
1251.png,0,Apartment,0.643,0.302723,0.242149,0.605446,0.408861
1270.png,3,Residential,0.9318,0.477513,0.478201,0.438773,0.352786
1270.png,3,Residential,0.3066,0.065201,0.572411,0.130162,0.448301
1274.png,3,Residential,0.911,0.458682,0.506205,0.418155,0.470699
1274.png,3,Residential,0.5746,0.501738,0.103612,0.368452,0.205709
1274.png,3,Residential,0.2908,0.528067,0.914152,0.32274,0.168218
1283.png,3,Residential,0.9136,0.503878,0.499668,0.518239,0.386875
1283.png,3,Residential,0.8268,0.92131,0.484042,0.15738,0.304041
1290.png,3,Residential,0.751,0.248971,0.208631,0.349241,0.317488
1290.png,3,Residential,0.5505,0.436049,0.506614,0.468796,0.432459
1290.png,3,Residential,0.1328,0.802342,0.799783,0.393938,0.383797
1290.png,3,Residential,0.1095,0.905021,0.467484,0.189958,0.35258
1303.png,3,Residential,0.9064,0.484769,0.478893,0.41253,0.423327
1303.png,3,Residential,0.8903,0.4885,0.896717,0.461408,0.206566
1303.png,3,Residential,0.3367,0.058328,0.081534,0.116656,0.162727
1303.png,3,Residential,0.3197,0.548725,0.044806,0.283486,0.089613
1303.png,3,Residential,0.1905,0.489607,0.046098,0.380724,0.092195
1376.png,3,Residential,0.8708,0.466228,0.495108,0.502471,0.344162
1376.png,3,Residential,0.7834,0.700223,0.886226,0.302378,0.221394
1384.png,3,Residential,0.918,0.46069,0.468709,0.433519,0.357746
1384.png,3,Residential,0.8443,0.889489,0.365055,0.221022,0.598715
1384.png,3,Residential,0.8219,0.094964,0.481036,0.189929,0.407209
1410.png,3,Residential,0.8799,0.47991,0.89001,0.305953,0.219979
1410.png,3,Residential,0.716,0.458878,0.118888,0.366256,0.236379
1410.png,3,Residential,0.6836,0.441821,0.53326,0.37864,0.329885
1449.png,3,Residential,0.9122,0.487115,0.503857,0.478881,0.39634
1449.png,3,Residential,0.8714,0.102828,0.502822,0.205656,0.387968
1449.png,3,Residential,0.8526,0.91105,0.502698,0.1779,0.341424
1454.png,3,Residential,0.9168,0.472939,0.495051,0.340735,0.440644
1454.png,3,Residential,0.8619,0.326301,0.111466,0.61573,0.222932
1454.png,3,Residential,0.7443,0.470387,0.950695,0.331685,0.098611
1457.png,3,Residential,0.9163,0.459574,0.553592,0.516571,0.535247
1457.png,3,Residential,0.1584,0.201264,0.043257,0.402527,0.086506
1457.png,3,Residential,0.1298,0.666559,0.954785,0.426619,0.090285
1457.png,3,Residential,0.1203,0.680524,0.043356,0.444615,0.086711
1457.png,3,Residential,0.115,0.224336,0.111727,0.446839,0.223455
1474.png,3,Residential,0.8227,0.67337,0.384405,0.65326,0.532277
1474.png,3,Residential,0.406,0.133236,0.314075,0.266471,0.306466
1474.png,3,Residential,0.2852,0.130995,0.389491,0.26199,0.465377
1474.png,3,Residential,0.1833,0.852507,0.928758,0.294986,0.142175
1474.png,3,Residential,0.1467,0.868369,0.899018,0.262231,0.201964
148.png,3,Residential,0.8954,0.482179,0.49204,0.501444,0.463289
148.png,3,Residential,0.7775,0.370048,0.922805,0.492483,0.151988
1504.png,3,Residential,0.8953,0.458304,0.482292,0.485601,0.326818
1504.png,3,Residential,0.5063,0.834948,0.057709,0.320067,0.114287
1504.png,3,Residential,0.3878,0.093386,0.89341,0.186693,0.213181
1504.png,0,Apartment,0.1759,0.23371,0.897884,0.462977,0.199969
1504.png,3,Residential,0.124,0.316461,0.040434,0.626162,0.077685
1584.png,3,Residential,0.8981,0.472981,0.48871,0.432462,0.330781
1584.png,3,Residential,0.8378,0.099465,0.494412,0.198931,0.332293
1584.png,3,Residential,0.7327,0.889032,0.589672,0.221181,0.32637
1606.png,2,Commercial,0.8113,0.435512,0.44858,0.738614,0.760048
1619.png,2,Commercial,0.919,0.484149,0.504409,0.73451,0.845527
1644.png,3,Residential,0.8388,0.507137,0.486371,0.444001,0.478236
1644.png,3,Residential,0.8336,0.502477,0.90688,0.481133,0.185608
1644.png,3,Residential,0.5623,0.561766,0.069596,0.434958,0.139107
1659.png,3,Residential,0.8703,0.458498,0.895413,0.373524,0.209175
1659.png,3,Residential,0.7417,0.457123,0.493921,0.342904,0.411564
1659.png,3,Residential,0.3125,0.322181,0.046604,0.567652,0.093209
1719.png,3,Residential,0.8747,0.484103,0.476302,0.371335,0.480443
1719.png,3,Residential,0.7785,0.742597,0.901857,0.514805,0.196286
1719.png,3,Residential,0.5632,0.492772,0.072918,0.331626,0.145837
1722.png,3,Residential,0.931,0.495357,0.480526,0.413945,0.474751
1722.png,3,Residential,0.9003,0.888483,0.107946,0.22111,0.215209
1722.png,3,Residential,0.8474,0.60057,0.905004,0.426484,0.189992
1799.png,0,Apartment,0.853,0.454888,0.477896,0.455737,0.400677
1799.png,0,Apartment,0.5871,0.888394,0.405815,0.223211,0.431179
1808.png,3,Residential,0.9094,0.509267,0.487895,0.440761,0.529609
1808.png,3,Residential,0.4972,0.589495,0.937941,0.296712,0.123026
1808.png,3,Residential,0.412,0.511189,0.93718,0.44228,0.12424
1845.png,3,Residential,0.7531,0.178773,0.297069,0.357546,0.484013
1845.png,3,Residential,0.7491,0.426256,0.93203,0.568289,0.134775
1845.png,3,Residential,0.4326,0.460331,0.497206,0.424633,0.361148
1845.png,3,Residential,0.1533,0.63269,0.161276,0.443081,0.317174
1865.png,3,Residential,0.872,0.490534,0.46425,0.476123,0.325231
1865.png,3,Residential,0.7809,0.943255,0.491143,0.112892,0.385553
1888.png,3,Residential,0.8514,0.535137,0.892066,0.531316,0.215388
1888.png,3,Residential,0.513,0.495993,0.363011,0.378008,0.665357
1910.png,3,Residential,0.8792,0.460509,0.461577,0.457971,0.441358
1919.png,3,Residential,0.9031,0.48473,0.497323,0.347159,0.447746
1919.png,3,Residential,0.9004,0.490904,0.891007,0.524899,0.212965
1919.png,3,Residential,0.7593,0.503087,0.101235,0.383245,0.201253
1919.png,3,Residential,0.1878,0.938613,0.957826,0.116689,0.084348
194.png,3,Residential,0.9274,0.497158,0.474451,0.491547,0.436656
194.png,3,Residential,0.8446,0.603803,0.906391,0.530503,0.187219
1951.png,3,Residential,0.8778,0.48961,0.473023,0.433234,0.405286
1951.png,3,Residential,0.857,0.506775,0.874609,0.41153,0.239402
1951.png,3,Residential,0.8354,0.924459,0.495307,0.151081,0.437698
2005.png,3,Residential,0.9268,0.470163,0.498205,0.322472,0.465437
2005.png,3,Residential,0.1317,0.539255,0.893347,0.385425,0.212708
2005.png,3,Residential,0.1274,0.348376,0.107966,0.344394,0.215878
2005.png,3,Residential,0.1074,0.421456,0.108979,0.503294,0.216185
2008.png,3,Residential,0.6528,0.488563,0.942592,0.526442,0.114816
2008.png,3,Residential,0.616,0.482355,0.491453,0.386909,0.410531
2008.png,3,Residential,0.3022,0.434064,0.928946,0.60256,0.142109
2027.png,3,Residential,0.9031,0.464678,0.488674,0.331339,0.332651
2027.png,3,Residential,0.8649,0.100436,0.604223,0.200872,0.481329
2027.png,3,Residential,0.8001,0.889321,0.630255,0.221358,0.50355
2048.png,3,Residential,0.7619,0.465129,0.477259,0.34991,0.390453
2048.png,3,Residential,0.3598,0.073994,0.819858,0.147989,0.318399
2048.png,3,Residential,0.3081,0.939939,0.453302,0.120121,0.478719
2048.png,3,Residential,0.19,0.06902,0.680279,0.13804,0.609905
2056.png,3,Residential,0.9036,0.872758,0.491738,0.254484,0.324923
2056.png,3,Residential,0.8986,0.489343,0.471648,0.464138,0.333392
2056.png,3,Residential,0.8736,0.086088,0.473817,0.171829,0.319501
2094.png,3,Residential,0.7624,0.906071,0.440473,0.187858,0.264664
2094.png,3,Residential,0.158,0.496279,0.485399,0.466259,0.397143
2135.png,3,Residential,0.9145,0.496422,0.479297,0.462903,0.35408
2135.png,3,Residential,0.9032,0.093979,0.467172,0.18779,0.344921
2135.png,3,Residential,0.8443,0.921304,0.47509,0.157111,0.343231
2170.png,3,Residential,0.7982,0.48486,0.493721,0.403139,0.492908
2187.png,3,Residential,0.9097,0.472964,0.490733,0.489682,0.619838
2187.png,3,Residential,0.8243,0.437019,0.070253,0.438145,0.140507
2226.png,3,Residential,0.9012,0.419116,0.133384,0.402914,0.266767
2226.png,3,Residential,0.8403,0.440729,0.49103,0.402906,0.309227
225.png,3,Residential,0.888,0.492946,0.465984,0.43454,0.35247
225.png,3,Residential,0.2021,0.156032,0.835142,0.312064,0.32432
225.png,3,Residential,0.1112,0.094133,0.950717,0.188266,0.093853
2273.png,3,Residential,0.9005,0.49016,0.477985,0.465327,0.391392
2273.png,3,Residential,0.8392,0.889441,0.604886,0.220585,0.43843
2273.png,3,Residential,0.7532,0.080513,0.516577,0.160653,0.440833
2312.png,3,Residential,0.8845,0.458695,0.487263,0.457251,0.384219
2312.png,3,Residential,0.884,0.649511,0.902401,0.365412,0.195199
