Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1044.png,3,Residential,0.9098,0.488499,0.474152,0.370257,0.409935
1044.png,3,Residential,0.9072,0.848341,0.476768,0.303319,0.43731
1044.png,3,Residential,0.9054,0.079782,0.49081,0.15867,0.398957
1065.png,3,Residential,0.9168,0.501007,0.763584,0.457544,0.313155
1065.png,3,Residential,0.8973,0.472526,0.467151,0.460537,0.302123
1065.png,3,Residential,0.6954,0.480706,0.159508,0.418216,0.287411
1065.png,3,Residential,0.2139,0.968216,0.318903,0.063361,0.319387
1065.png,3,Residential,0.2096,0.970101,0.270213,0.059711,0.218442
1065.png,3,Residential,0.145,0.964293,0.381188,0.070893,0.4351
1065.png,3,Residential,0.1337,0.966299,0.499691,0.067227,0.345501
1065.png,3,Residential,0.1169,0.965172,0.5766,0.069656,0.461491
1065.png,3,Residential,0.1156,0.96913,0.555651,0.061741,0.295111
1065.png,3,Residential,0.1103,0.597255,0.958933,0.254982,0.077113
1078.png,3,Residential,0.1657,0.830265,0.523254,0.338936,0.447337
1115.png,3,Residential,0.8882,0.438723,0.231177,0.432727,0.252295
1115.png,3,Residential,0.8676,0.457789,0.554467,0.439881,0.264581
1115.png,2,Commercial,0.1359,0.033024,0.782553,0.064557,0.430679
1149.png,3,Residential,0.9174,0.491323,0.466639,0.465579,0.477065
1149.png,3,Residential,0.8063,0.40675,0.887125,0.195809,0.223404
1149.png,3,Residential,0.3618,0.9455,0.150884,0.109001,0.191675
1149.png,3,Residential,0.2004,0.559356,0.036613,0.46406,0.073225
1149.png,3,Residential,0.1252,0.950941,0.418464,0.098117,0.329911
1173.png,3,Residential,0.9181,0.494902,0.469347,0.488743,0.416456
1173.png,3,Residential,0.7882,0.907178,0.462148,0.185645,0.456992
1173.png,3,Residential,0.3539,0.035685,0.361224,0.070786,0.230559
1173.png,3,Residential,0.2096,0.03549,0.440128,0.07098,0.399309
1176.png,3,Residential,0.8572,0.397545,0.468667,0.264291,0.3318
1176.png,3,Residential,0.5778,0.444166,0.893103,0.275953,0.209417
1176.png,3,Residential,0.1237,0.230566,0.912955,0.164951,0.17057
1211.png,3,Residential,0.9254,0.495296,0.476541,0.445191,0.324256
1251.png,3,Residential,0.8955,0.479984,0.491454,0.495543,0.300767
1251.png,3,Residential,0.8374,0.102975,0.490357,0.205951,0.373499
1270.png,3,Residential,0.8512,0.060846,0.476471,0.121442,0.442449
1270.png,3,Residential,0.651,0.923324,0.650926,0.153353,0.69239
1270.png,0,Apartment,0.4805,0.471633,0.532506,0.701869,0.528088
1270.png,3,Residential,0.2253,0.479339,0.542546,0.680427,0.558812
1270.png,3,Residential,0.1933,0.532369,0.094256,0.532505,0.188511
1274.png,3,Residential,0.9191,0.513985,0.4669,0.346767,0.419574
1274.png,3,Residential,0.6301,0.526563,0.888143,0.35079,0.223489
1283.png,3,Residential,0.6339,0.169065,0.701232,0.336624,0.448939
1283.png,3,Residential,0.119,0.131849,0.192139,0.259616,0.367314
1290.png,3,Residential,0.7438,0.886155,0.535888,0.226778,0.397978
1290.png,3,Residential,0.3066,0.157729,0.507257,0.301242,0.49037
1290.png,3,Residential,0.24,0.480614,0.466926,0.34476,0.434688
1303.png,3,Residential,0.7681,0.639687,0.808214,0.267386,0.383571
1303.png,3,Residential,0.6085,0.334944,0.813157,0.305718,0.368031
1303.png,0,Apartment,0.6007,0.334209,0.799695,0.309462,0.380125
1303.png,3,Residential,0.3369,0.918106,0.786105,0.163788,0.421952
1303.png,0,Apartment,0.1468,0.913253,0.784435,0.173495,0.424703
1303.png,2,Commercial,0.1352,0.475516,0.476399,0.643685,0.222446
1376.png,3,Residential,0.7132,0.950022,0.527549,0.099031,0.427695
1376.png,0,Apartment,0.2306,0.461902,0.480825,0.546018,0.404521
1376.png,3,Residential,0.1985,0.459294,0.47828,0.547499,0.401884
1384.png,3,Residential,0.9044,0.55495,0.476558,0.268121,0.410964
1384.png,3,Residential,0.8423,0.522254,0.906093,0.379842,0.187814
1384.png,3,Residential,0.6398,0.457156,0.061051,0.34546,0.122101
1410.png,3,Residential,0.8666,0.461815,0.44556,0.473015,0.256367
1410.png,3,Residential,0.8528,0.4629,0.113527,0.500801,0.227053
1410.png,3,Residential,0.8486,0.501568,0.836649,0.445798,0.29329
1410.png,3,Residential,0.2641,0.964903,0.265283,0.069806,0.357158
1449.png,3,Residential,0.8905,0.468912,0.488197,0.313021,0.33055
1449.png,3,Residential,0.1484,0.522595,0.893628,0.872222,0.210661
1454.png,3,Residential,0.895,0.53949,0.888609,0.435537,0.220368
1454.png,3,Residential,0.448,0.520703,0.473209,0.474995,0.326364
1457.png,3,Residential,0.8608,0.498124,0.500206,0.393387,0.401215
1457.png,3,Residential,0.5114,0.110293,0.664057,0.212202,0.291272
1457.png,3,Residential,0.2939,0.85983,0.257468,0.264807,0.198348
1457.png,3,Residential,0.1647,0.864601,0.351044,0.264638,0.37566
1474.png,3,Residential,0.8977,0.524335,0.442919,0.345436,0.484687
1474.png,3,Residential,0.767,0.889737,0.41255,0.218755,0.406848
1474.png,3,Residential,0.4566,0.233247,0.038835,0.441504,0.077563
148.png,3,Residential,0.9091,0.422112,0.508298,0.46579,0.39222
148.png,3,Residential,0.1053,0.447872,0.109931,0.659119,0.219861
1504.png,3,Residential,0.8864,0.090799,0.167923,0.181599,0.335846
1504.png,3,Residential,0.7959,0.462555,0.797961,0.469093,0.30113
1504.png,3,Residential,0.686,0.083098,0.593889,0.164387,0.347435
1504.png,3,Residential,0.5208,0.962253,0.752433,0.075493,0.334465
1504.png,3,Residential,0.4215,0.101935,0.909712,0.20387,0.17953
1504.png,3,Residential,0.4024,0.455237,0.459722,0.454076,0.265044
1504.png,3,Residential,0.3495,0.940941,0.399084,0.11731,0.256676
1504.png,3,Residential,0.1828,0.931215,0.142958,0.13757,0.285916
1540.png,3,Residential,0.843,0.456899,0.885596,0.344606,0.228808
1540.png,3,Residential,0.7357,0.448241,0.461556,0.38583,0.442193
1540.png,3,Residential,0.5619,0.536342,0.03733,0.45515,0.074605
1540.png,3,Residential,0.4218,0.544602,0.083975,0.46516,0.160461
1584.png,3,Residential,0.6109,0.33256,0.833777,0.635961,0.326604
1596.png,3,Residential,0.1966,0.146149,0.947325,0.292298,0.105235
1596.png,3,Residential,0.1944,0.147716,0.911597,0.295432,0.176469
1606.png,3,Residential,0.9097,0.109708,0.581738,0.219416,0.178711
1606.png,3,Residential,0.9029,0.508683,0.466867,0.336726,0.443524
1619.png,3,Residential,0.8546,0.796553,0.143833,0.332348,0.277383
1619.png,3,Residential,0.7858,0.123659,0.47405,0.247317,0.372835
1644.png,3,Residential,0.8955,0.512939,0.456426,0.36687,0.33961
1644.png,3,Residential,0.7772,0.556422,0.929054,0.322125,0.14084
1659.png,3,Residential,0.8702,0.488844,0.477831,0.397308,0.374644
1659.png,3,Residential,0.1665,0.943279,0.530727,0.112775,0.388264
169.png,3,Residential,0.946,0.853108,0.710375,0.293784,0.282931
169.png,3,Residential,0.9319,0.471101,0.470471,0.435871,0.279877
169.png,3,Residential,0.9219,0.451108,0.15871,0.418826,0.289614
169.png,3,Residential,0.9218,0.47685,0.766265,0.447271,0.30662
169.png,3,Residential,0.9138,0.867756,0.410896,0.263788,0.236794
169.png,3,Residential,0.9056,0.865558,0.114628,0.266121,0.228251
1719.png,2,Commercial,0.655,0.317535,0.529477,0.61912,0.734541
1719.png,2,Commercial,0.2433,0.084045,0.489449,0.16809,0.624259
1719.png,2,Commercial,0.1782,0.414326,0.518208,0.378881,0.727337
1722.png,3,Residential,0.8511,0.47558,0.491515,0.443533,0.364622
1722.png,3,Residential,0.7191,0.938055,0.489977,0.123757,0.34354
1722.png,3,Residential,0.3822,0.077663,0.34464,0.155326,0.662418
1799.png,3,Residential,0.8426,0.440623,0.462164,0.52013,0.304633
1808.png,0,Apartment,0.331,0.405578,0.146389,0.811156,0.289039
1808.png,3,Residential,0.1432,0.400661,0.137161,0.801323,0.270679
1845.png,3,Residential,0.8905,0.495385,0.479074,0.508426,0.385358
1845.png,3,Residential,0.8405,0.08475,0.454638,0.168978,0.301473
1845.png,3,Residential,0.6095,0.887127,0.47608,0.224782,0.326248
1865.png,2,Commercial,0.6964,0.141548,0.526247,0.276959,0.468896
1865.png,3,Residential,0.6897,0.214685,0.924458,0.416427,0.151084
1865.png,2,Commercial,0.5063,0.479483,0.475914,0.351959,0.407369
1865.png,3,Residential,0.5024,0.139454,0.53103,0.277023,0.45641
1865.png,2,Commercial,0.2827,0.816901,0.486758,0.352308,0.400847
1865.png,3,Residential,0.1251,0.821196,0.494378,0.342928,0.406738
1865.png,2,Commercial,0.1007,0.579082,0.476546,0.552859,0.409638
1888.png,3,Residential,0.8672,0.494908,0.48286,0.431459,0.403972
1888.png,3,Residential,0.8608,0.115501,0.478911,0.231001,0.311986
1910.png,3,Residential,0.7987,0.517074,0.481675,0.518611,0.274849
1910.png,3,Residential,0.7153,0.453159,0.178233,0.415279,0.239983
1910.png,3,Residential,0.1619,0.478906,0.542277,0.433964,0.147192
1919.png,3,Residential,0.8927,0.491458,0.482025,0.346951,0.435499
1919.png,3,Residential,0.8879,0.847314,0.485158,0.298598,0.261225
1919.png,3,Residential,0.6869,0.100626,0.844592,0.195528,0.307739
1919.png,3,Residential,0.1405,0.048874,0.516074,0.09375,0.25351
1943.png,3,Residential,0.849,0.474157,0.463164,0.378156,0.38728
1943.png,3,Residential,0.236,0.613704,0.890215,0.160645,0.21957
1951.png,3,Residential,0.8281,0.539065,0.775154,0.523772,0.316866
1951.png,3,Residential,0.7179,0.121428,0.910249,0.242856,0.179145
1951.png,3,Residential,0.2986,0.492957,0.366258,0.334326,0.718236
1951.png,3,Residential,0.1229,0.471027,0.441905,0.350886,0.545574
1951.png,3,Residential,0.1012,0.569601,0.981963,0.367407,0.036074
2005.png,3,Residential,0.7505,0.454242,0.876605,0.43672,0.246791
2005.png,3,Residential,0.728,0.496912,0.476856,0.389733,0.34776
2008.png,0,Apartment,0.8392,0.895555,0.725159,0.208068,0.543225
2008.png,3,Residential,0.2652,0.321359,0.879073,0.349751,0.235443
2008.png,3,Residential,0.1996,0.25591,0.099111,0.410884,0.198222
2017.png,3,Residential,0.8608,0.510627,0.539729,0.364082,0.352986
2017.png,3,Residential,0.7308,0.138395,0.60517,0.270574,0.312819
2017.png,3,Residential,0.1531,0.882172,0.561613,0.235657,0.278404
2027.png,3,Residential,0.8711,0.494574,0.114802,0.520993,0.229604
2027.png,3,Residential,0.766,0.472796,0.491807,0.447194,0.337701
2027.png,3,Residential,0.7476,0.520237,0.841667,0.474572,0.31101
2047.png,3,Residential,0.8815,0.377335,0.89265,0.280686,0.214699
2048.png,3,Residential,0.9105,0.497947,0.470345,0.405874,0.395889
2048.png,3,Residential,0.8659,0.886054,0.468269,0.222752,0.433812
2048.png,3,Residential,0.7103,0.444272,0.061044,0.334155,0.122087
2048.png,3,Residential,0.5524,0.083305,0.500694,0.164949,0.27017
2056.png,3,Residential,0.6996,0.088621,0.199148,0.177242,0.398296
2056.png,3,Residential,0.6709,0.89609,0.89665,0.207678,0.206179
2056.png,3,Residential,0.1242,0.502429,0.451746,0.331641,0.278941
2056.png,3,Residential,0.1046,0.149829,0.976924,0.299658,0.045808
2094.png,3,Residential,0.5439,0.478855,0.9137,0.37126,0.171691
2094.png,3,Residential,0.3843,0.537436,0.139737,0.574752,0.279474
2094.png,3,Residential,0.1919,0.444562,0.308668,0.345253,0.617336
2094.png,3,Residential,0.1122,0.130261,0.128922,0.249951,0.257844
2135.png,3,Residential,0.8612,0.825445,0.684013,0.346163,0.573952
2135.png,3,Residential,0.3894,0.307129,0.488816,0.589998,0.287323
2135.png,3,Residential,0.1331,0.833683,0.137333,0.332635,0.274667
2170.png,3,Residential,0.9101,0.478572,0.482084,0.418971,0.470327
2170.png,3,Residential,0.4748,0.764438,0.180923,0.429288,0.361845
2170.png,3,Residential,0.2015,0.659065,0.958849,0.384965,0.082302
2187.png,3,Residential,0.7511,0.547429,0.891159,0.259032,0.217682
2187.png,3,Residential,0.4203,0.495814,0.458933,0.294391,0.32134
2226.png,3,Residential,0.9064,0.498247,0.474184,0.433156,0.307382
2226.png,3,Residential,0.8312,0.109978,0.465448,0.219771,0.306461
2226.png,3,Residential,0.5246,0.92605,0.428252,0.147044,0.242834
2226.png,3,Residential,0.1416,0.091541,0.124083,0.174906,0.14024
225.png,3,Residential,0.8867,0.492311,0.489814,0.360004,0.295689
225.png,3,Residential,0.8015,0.087647,0.505085,0.175293,0.260478
