Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1044.png,3,Residential,0.8533,0.47877,0.506193,0.466558,0.476197
1044.png,3,Residential,0.812,0.63271,0.876962,0.661658,0.246077
1044.png,3,Residential,0.4214,0.466498,0.082313,0.540041,0.163704
1065.png,2,Commercial,0.4206,0.497803,0.563768,0.995606,0.872465
1078.png,3,Residential,0.4631,0.892754,0.562565,0.213706,0.300204
1115.png,3,Residential,0.2801,0.547957,0.505804,0.551745,0.278438
1149.png,3,Residential,0.6749,0.085609,0.477463,0.168692,0.487862
1149.png,3,Residential,0.4557,0.932449,0.539584,0.134966,0.335289
1149.png,3,Residential,0.1693,0.939618,0.486962,0.120765,0.46328
1149.png,3,Residential,0.1411,0.948769,0.557006,0.102462,0.309449
1149.png,3,Residential,0.1004,0.501318,0.513187,0.434323,0.442772
1173.png,3,Residential,0.7092,0.466478,0.462981,0.416497,0.504918
1173.png,3,Residential,0.1266,0.524123,0.091418,0.513371,0.182835
1176.png,3,Residential,0.4397,0.460829,0.494913,0.535017,0.626172
1176.png,3,Residential,0.2752,0.825504,0.368965,0.348992,0.737929
1176.png,3,Residential,0.1494,0.517912,0.120452,0.42602,0.227938
1176.png,3,Residential,0.1233,0.872524,0.335469,0.254952,0.670937
1211.png,3,Residential,0.7565,0.514551,0.51468,0.620219,0.371176
1211.png,3,Residential,0.4282,0.878784,0.869953,0.242433,0.260095
1211.png,3,Residential,0.1288,0.826466,0.865458,0.347068,0.269085
1211.png,3,Residential,0.1094,0.795595,0.073933,0.40881,0.147866
1251.png,3,Residential,0.7502,0.493505,0.549746,0.460507,0.623826
1251.png,3,Residential,0.452,0.275893,0.85558,0.317269,0.28884
1251.png,3,Residential,0.3923,0.732337,0.155455,0.450772,0.3108
1270.png,3,Residential,0.8134,0.525553,0.863076,0.493728,0.273848
1270.png,3,Residential,0.6432,0.494447,0.481678,0.55771,0.425346
1274.png,3,Residential,0.3015,0.083726,0.614286,0.167452,0.452992
1283.png,3,Residential,0.8592,0.485948,0.490242,0.40096,0.52213
1290.png,3,Residential,0.8231,0.501672,0.495589,0.346566,0.460945
1290.png,3,Residential,0.6391,0.474238,0.056072,0.324878,0.112144
1290.png,3,Residential,0.5579,0.16695,0.417414,0.27847,0.244254
1303.png,3,Residential,0.9136,0.463071,0.500014,0.522284,0.498392
1303.png,3,Residential,0.8426,0.525603,0.921286,0.460746,0.155397
1303.png,3,Residential,0.1011,0.961727,0.47063,0.076547,0.592551
1376.png,3,Residential,0.8269,0.492041,0.482452,0.434081,0.363795
1384.png,3,Residential,0.7194,0.64968,0.455586,0.537268,0.604446
1384.png,3,Residential,0.6257,0.515091,0.457059,0.837168,0.611718
1384.png,3,Residential,0.2083,0.612274,0.465709,0.370703,0.561995
1410.png,3,Residential,0.7315,0.488403,0.474555,0.449871,0.492336
1449.png,3,Residential,0.6233,0.121492,0.435621,0.242909,0.303979
1449.png,3,Residential,0.425,0.507411,0.482328,0.358626,0.485231
1449.png,3,Residential,0.2179,0.535953,0.078806,0.607768,0.157534
1449.png,3,Residential,0.1265,0.507821,0.568806,0.368178,0.285368
1454.png,3,Residential,0.7053,0.612281,0.903889,0.58427,0.192223
1454.png,3,Residential,0.3448,0.441155,0.56356,0.509071,0.650782
1454.png,3,Residential,0.1564,0.046157,0.557251,0.092313,0.47128
1454.png,3,Residential,0.1245,0.069886,0.555331,0.139771,0.487643
1457.png,3,Residential,0.8939,0.363661,0.47209,0.726322,0.34619
1457.png,3,Residential,0.5101,0.882704,0.487822,0.232269,0.375449
1457.png,3,Residential,0.4207,0.103368,0.796427,0.206737,0.321085
1457.png,2,Commercial,0.1567,0.354008,0.041938,0.708016,0.083876
1474.png,3,Residential,0.7657,0.376957,0.49454,0.696181,0.456844
1474.png,3,Residential,0.4701,0.607434,0.074721,0.505751,0.149144
1474.png,3,Residential,0.3504,0.66093,0.891769,0.545495,0.198019
1474.png,3,Residential,0.1366,0.504965,0.497461,0.465154,0.452206
148.png,3,Residential,0.8189,0.482141,0.905908,0.334049,0.187952
148.png,3,Residential,0.7615,0.468071,0.503359,0.375143,0.475722
148.png,3,Residential,0.7419,0.53078,0.089974,0.516085,0.176492
1504.png,3,Residential,0.8442,0.116076,0.896232,0.229026,0.207536
1504.png,3,Residential,0.6758,0.521188,0.492984,0.432736,0.455042
1504.png,3,Residential,0.6501,0.450599,0.893275,0.562815,0.213449
1504.png,3,Residential,0.3941,0.132644,0.144369,0.265288,0.288738
1504.png,3,Residential,0.3482,0.575949,0.887753,0.301677,0.224494
1540.png,3,Residential,0.7635,0.382713,0.615871,0.765426,0.768259
1540.png,3,Residential,0.6544,0.817383,0.763058,0.365234,0.453405
1540.png,3,Residential,0.2337,0.369416,0.168703,0.738832,0.337405
1584.png,3,Residential,0.5744,0.541517,0.544531,0.454469,0.443382
1584.png,3,Residential,0.4125,0.527469,0.908775,0.484992,0.178136
1584.png,3,Residential,0.3799,0.519627,0.644755,0.477541,0.71049
1584.png,3,Residential,0.3563,0.544653,0.061176,0.455585,0.122353
1596.png,3,Residential,0.8575,0.215947,0.7995,0.426922,0.400999
1596.png,3,Residential,0.8301,0.667512,0.655504,0.649094,0.688993
1596.png,3,Residential,0.1121,0.758505,0.968547,0.314537,0.062907
1606.png,3,Residential,0.9063,0.473291,0.491317,0.498253,0.559248
1606.png,3,Residential,0.7279,0.461923,0.9393,0.63046,0.1214
1606.png,3,Residential,0.364,0.402381,0.044095,0.572974,0.088189
1606.png,3,Residential,0.292,0.471739,0.912332,0.646557,0.175336
1619.png,3,Residential,0.3084,0.481456,0.460604,0.426333,0.5359
1619.png,3,Residential,0.2578,0.829198,0.810431,0.331956,0.373911
1619.png,3,Residential,0.2405,0.710447,0.047756,0.371394,0.095511
1619.png,3,Residential,0.1621,0.918292,0.231233,0.160652,0.378791
1644.png,3,Residential,0.8525,0.457393,0.886939,0.413809,0.226121
1644.png,3,Residential,0.8122,0.480878,0.511483,0.404476,0.486247
1644.png,3,Residential,0.2391,0.592678,0.431112,0.813194,0.862223
1659.png,3,Residential,0.7121,0.491514,0.487974,0.424516,0.543278
1659.png,3,Residential,0.5361,0.336896,0.909358,0.259074,0.180129
1659.png,3,Residential,0.3721,0.616587,0.490763,0.659406,0.543256
169.png,3,Residential,0.8428,0.468297,0.482154,0.51561,0.41066
169.png,3,Residential,0.7981,0.435888,0.884075,0.325175,0.231849
169.png,3,Residential,0.1847,0.38434,0.110581,0.374471,0.220711
1719.png,3,Residential,0.6974,0.507119,0.489515,0.466335,0.51716
1719.png,3,Residential,0.2486,0.561574,0.899248,0.432881,0.201504
1722.png,3,Residential,0.3647,0.461464,0.535672,0.514588,0.59539
1722.png,3,Residential,0.2452,0.187782,0.891501,0.375565,0.216998
1722.png,3,Residential,0.1456,0.840088,0.567649,0.310903,0.402721
176.png,3,Residential,0.8974,0.501432,0.496629,0.448632,0.471663
176.png,3,Residential,0.7818,0.531023,0.948008,0.433034,0.103984
176.png,3,Residential,0.7412,0.10413,0.93228,0.20826,0.134669
1799.png,2,Commercial,0.1925,0.63188,0.592792,0.736241,0.784602
1799.png,0,Apartment,0.1443,0.629174,0.609141,0.741651,0.747814
1799.png,3,Residential,0.1362,0.626355,0.620019,0.747289,0.731366
1808.png,3,Residential,0.7363,0.893577,0.543258,0.21131,0.299064
1808.png,3,Residential,0.3598,0.511748,0.490402,0.397192,0.3636
1808.png,3,Residential,0.3041,0.090482,0.626502,0.177365,0.605564
1808.png,3,Residential,0.1272,0.480457,0.550498,0.433625,0.477892
1845.png,3,Residential,0.9136,0.504594,0.535128,0.460877,0.503959
1845.png,3,Residential,0.8216,0.558268,0.91854,0.268726,0.1596
1845.png,3,Residential,0.519,0.060608,0.505947,0.119098,0.498163
1865.png,3,Residential,0.8646,0.462641,0.483518,0.309261,0.498085
1865.png,3,Residential,0.6877,0.475926,0.905963,0.323924,0.187987
1865.png,3,Residential,0.1178,0.474326,0.111338,0.294523,0.222675
