epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4399,3.76122,4.68752,4.27642,0,0,0,0,3.04529,4.60261,4.15887,6.666e-05,6.666e-05,6.666e-05
2,105.107,3.68414,4.544,4.23486,0,0,0,0,3.04633,4.60759,4.15765,0.000143477,0.000143477,0.000143477
3,228.234,3.61114,4.45256,4.20031,0,0,0,0,3.04842,4.62528,4.1551,0.000219267,0.000219267,0.000219267
4,286.618,3.41709,4.32545,4.17467,0,0,0,0,3.05174,4.64891,4.15215,0.000294031,0.000294031,0.000294031
5,346.981,3.51413,4.22919,4.15069,0,0,0,0,3.06002,4.70277,4.1468,0.000367768,0.000367768,0.000367768
6,767.805,3.38887,4.15757,4.1332,0,0,0,0,3.07123,4.76606,4.14411,0.000440478,0.000440478,0.000440478
7,1724.67,3.44573,3.84504,3.99493,0,0,0,0,3.10767,4.96061,4.15117,0.000512162,0.000512162,0.000512162
8,1773.57,3.27097,3.75981,3.97129,0,0,0,0,3.13527,5.08109,4.15989,0.000582819,0.000582819,0.000582819
9,1821.13,3.20509,3.64418,3.92152,0,0,0,0,3.18781,5.29024,4.19778,0.00065245,0.00065245,0.00065245
10,2802.45,3.18575,3.4299,3.8299,0,0,0,0,3.23505,5.45787,4.25281,0.000721055,0.000721055,0.000721055
11,2851.55,3.19324,3.28583,3.72713,0,0,0,0,3.25384,5.5233,4.2944,0.000788632,0.000788632,0.000788632
12,2898.49,3.08025,2.87506,3.55216,0,0,0,0,3.3427,5.95019,4.42114,0.000855183,0.000855183,0.000855183
13,3194.51,3.02867,2.78633,3.47994,3e-05,0.01923,2e-05,0,3.36835,6.02316,4.46021,0.000920708,0.000920708,0.000920708
14,3242.78,2.97939,2.72905,3.3534,0.00011,0.09661,0.00017,5e-05,3.38584,5.98554,4.4868,0.000985206,0.000985206,0.000985206
15,3292.68,2.95789,2.65452,3.29684,0.00025,0.07446,0.00015,4e-05,3.36942,5.96011,4.51463,0.00100834,0.00100834,0.00100834
16,3538.03,2.97941,2.48377,3.12214,0,0,0,0,3.37343,5.78924,4.48213,0.00100101,0.00100101,0.00100101
17,3587.49,2.8688,2.55523,3.14699,4e-05,0.01923,3e-05,1e-05,3.3753,5.61524,4.46322,0.000993678,0.000993678,0.000993678
18,3634.55,2.66127,2.42484,2.98918,0.00021,0.06856,0.00015,5e-05,3.38236,5.43802,4.41662,0.000986346,0.000986346,0.000986346
19,3681.38,2.67214,2.42475,2.95663,0.00022,0.06856,0.00245,0.00041,3.34664,5.54965,4.42611,0.000979013,0.000979013,0.000979013
20,3853.63,2.70105,2.41043,2.93641,0.2775,0.04127,0.02195,0.00541,3.32832,5.30809,4.29122,0.000971681,0.000971681,0.000971681
21,3902.19,2.52473,2.21875,2.81048,0.54623,0.05223,0.01871,0.00346,3.45113,4.91485,4.09847,0.000964348,0.000964348,0.000964348
22,3951.52,2.61772,2.43583,2.95108,0.56617,0.03989,0.02683,0.00605,3.35922,6.27758,4.0989,0.000957015,0.000957015,0.000957015
23,4441.53,2.55264,2.25917,2.82033,0.0103,0.1501,0.01816,0.00281,3.22145,10.8285,3.77844,0.000949683,0.000949683,0.000949683
24,4490.7,2.42725,2.20687,2.77694,0.49649,0.09449,0.04775,0.01023,3.12343,10.5098,3.66493,0.00094235,0.00094235,0.00094235
25,4539.99,2.43507,2.27404,2.74482,0.46419,0.08638,0.06156,0.01555,3.00277,11.2605,3.55076,0.000935018,0.000935018,0.000935018
26,4962.99,2.35368,2.16972,2.68937,0.30623,0.44465,0.07532,0.02259,2.77221,11.3917,3.33253,0.000927685,0.000927685,0.000927685
27,5019.21,2.35908,2.20817,2.7158,0.4344,0.14096,0.11974,0.03685,2.54436,6.00067,2.9679,0.000920352,0.000920352,0.000920352
28,5074.24,2.23689,2.02503,2.52312,0.171,0.1279,0.10827,0.03854,2.38268,3.92501,2.92383,0.00091302,0.00091302,0.00091302
29,5123.46,2.22435,2.02898,2.57031,0.15206,0.18375,0.13409,0.04766,2.24268,2.91866,2.86883,0.000905687,0.000905687,0.000905687
30,5173.11,2.22662,2.07169,2.6359,0.15894,0.34523,0.14474,0.04963,2.27214,4.46003,2.84594,0.000898355,0.000898355,0.000898355
31,5222.17,2.20819,2.15175,2.56664,0.08591,0.28072,0.10189,0.03636,2.18834,3.73049,2.78702,0.000891022,0.000891022,0.000891022
32,5676.75,2.19367,2.09031,2.54658,0.7985,0.18453,0.17786,0.05904,2.21185,2.14319,2.75413,0.000883689,0.000883689,0.000883689
33,5885.32,2.16658,1.9456,2.48404,0.89302,0.15884,0.16851,0.06115,2.16617,2.07434,2.71624,0.000876357,0.000876357,0.000876357
34,5933.28,2.08388,1.976,2.47133,0.7196,0.19613,0.21984,0.08491,2.11386,1.95573,2.64375,0.000869024,0.000869024,0.000869024
35,6003.93,2.12306,2.00258,2.5234,0.49976,0.2581,0.21769,0.08683,2.07716,1.96982,2.57243,0.000861692,0.000861692,0.000861692
36,6052.63,2.13225,1.93636,2.44921,0.49247,0.30195,0.21915,0.08576,2.10308,2.07907,2.58095,0.000854359,0.000854359,0.000854359
37,6101.92,2.0855,1.83415,2.43305,0.2245,0.2958,0.21164,0.07794,2.18614,2.18496,2.64991,0.000847026,0.000847026,0.000847026
38,6151.34,2.08196,1.87551,2.40255,0.5188,0.29893,0.2357,0.0887,2.12433,1.98068,2.59851,0.000839694,0.000839694,0.000839694
39,6201.54,2.04606,1.78529,2.38497,0.49495,0.28959,0.24892,0.09446,2.1184,1.94807,2.67983,0.000832361,0.000832361,0.000832361
40,6250.53,2.05937,1.86911,2.34695,0.46504,0.29252,0.25467,0.11068,1.99029,1.86238,2.51002,0.000825029,0.000825029,0.000825029
41,6971.89,2.00361,1.84775,2.36073,0.48727,0.30473,0.26638,0.11917,1.96735,1.84282,2.45785,0.000817696,0.000817696,0.000817696
42,7019.36,2.02209,1.90506,2.32749,0.53364,0.29603,0.26932,0.11937,1.91443,1.87727,2.40768,0.000810363,0.000810363,0.000810363
43,7066.5,1.98912,1.80207,2.30238,0.60179,0.25834,0.2494,0.10854,1.92416,1.80141,2.43404,0.000803031,0.000803031,0.000803031
44,7113.06,1.94184,1.79329,2.34559,0.50057,0.26497,0.23938,0.10113,2.03982,1.8414,2.54193,0.000795698,0.000795698,0.000795698
45,7265.33,1.9136,1.77275,2.30949,0.56458,0.25888,0.24104,0.10436,2.02755,1.91213,2.56477,0.000788366,0.000788366,0.000788366
46,7312.11,1.89834,1.67144,2.23516,0.25402,0.26156,0.24612,0.10417,1.99356,2.0164,2.56274,0.000781033,0.000781033,0.000781033
47,7359.82,1.94532,1.79052,2.2822,0.51855,0.25991,0.33679,0.13434,1.98887,2.01069,2.46874,0.0007737,0.0007737,0.0007737
