epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5811,3.76122,4.68752,4.27642,0,0,0,0,3.04529,4.60261,4.15887,6.666e-05,6.666e-05,6.666e-05
2,98.1142,3.68397,4.54492,4.23474,0,0,0,0,3.04633,4.60758,4.15766,0.000143,0.000143,0.000143
3,150.066,3.61348,4.45436,4.19795,0,0,0,0,3.04839,4.62529,4.15512,0.0002178,0.0002178,0.0002178
4,198.704,3.41154,4.32859,4.17382,0,0,0,0,3.05166,4.64889,4.1522,0.000291061,0.000291061,0.000291061
5,247.143,3.52056,4.22739,4.14668,0,0,0,0,3.06016,4.7027,4.14741,0.000362781,0.000362781,0.000362781
6,295.872,3.37709,4.13788,4.11431,0,0,0,0,3.07215,4.76752,4.14499,0.000432962,0.000432962,0.000432962
7,343.545,3.42586,3.79138,3.98464,0,0,0,0,3.10818,4.95715,4.15051,0.000501603,0.000501603,0.000501603
8,390.638,3.2738,3.70182,3.9615,0,0,0,0,3.13345,5.06348,4.15743,0.000568704,0.000568704,0.000568704
9,437.73,3.21437,3.53332,3.90857,0,0,0,0,3.18002,5.25953,4.19174,0.000634265,0.000634265,0.000634265
10,485.081,3.20912,3.28972,3.81162,0,0,0,0,3.22153,5.39623,4.2386,0.000698287,0.000698287,0.000698287
11,532.339,3.21607,3.21424,3.72786,0,0,0,0,3.25729,5.54465,4.29097,0.000760768,0.000760768,0.000760768
12,581.058,3.0347,2.78109,3.53205,0,0,0,0,3.31807,5.76299,4.37064,0.00082171,0.00082171,0.00082171
13,630.017,2.97911,2.7859,3.46651,0,0,0,0,3.33981,5.89526,4.41802,0.000881112,0.000881112,0.000881112
14,677.439,2.99196,2.71321,3.3825,8e-05,0.01969,4e-05,1e-05,3.37047,5.95289,4.46948,0.000938974,0.000938974,0.000938974
15,724.61,2.92669,2.61857,3.30573,0.00087,0.09712,0.01061,0.0051,3.37425,5.89086,4.4764,0.000957015,0.000957015,0.000957015
16,773.45,2.97125,2.47702,3.14592,0.51853,0.01723,0.02173,0.01005,3.38855,5.56875,4.3861,0.000946016,0.000946016,0.000946016
17,822.859,2.90289,2.5044,3.1882,0.00077,0.1449,0.02792,0.0159,3.38977,5.56286,4.38666,0.000935018,0.000935018,0.000935018
18,873.068,2.71495,2.33048,2.98982,0.00043,0.13804,0.0089,0.00204,3.38772,5.57784,4.4018,0.000924019,0.000924019,0.000924019
19,922.299,2.7287,2.35113,2.96158,0.77378,0.01087,0.00625,0.00213,3.34621,5.41389,4.33032,0.00091302,0.00091302,0.00091302
