Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1044.png,3,Residential,0.8983,0.15929,0.515062,0.31707,0.429685
1044.png,3,Residential,0.888,0.523131,0.462086,0.356088,0.410244
1044.png,3,Residential,0.8406,0.814872,0.885271,0.36692,0.229457
1044.png,3,Residential,0.83,0.408911,0.919046,0.382938,0.161458
1044.png,3,Residential,0.5981,0.302772,0.926826,0.605544,0.142829
1044.png,3,Residential,0.5129,0.266326,0.943421,0.532653,0.11231
1044.png,3,Residential,0.1667,0.261567,0.075092,0.514256,0.150183
1065.png,3,Residential,0.5965,0.448884,0.499406,0.49476,0.591011
1065.png,0,Apartment,0.5895,0.453404,0.495947,0.474288,0.608021
1065.png,0,Apartment,0.2102,0.544467,0.055338,0.254947,0.109177
1078.png,3,Residential,0.9056,0.503972,0.443453,0.35029,0.45878
1078.png,3,Residential,0.9026,0.849851,0.500049,0.297657,0.372347
1115.png,3,Residential,0.924,0.654909,0.707803,0.380658,0.415878
1115.png,3,Residential,0.9224,0.485568,0.444339,0.410694,0.381927
1115.png,3,Residential,0.8982,0.318263,0.165656,0.397762,0.327077
1115.png,3,Residential,0.8071,0.829456,0.904948,0.33462,0.190103
1115.png,3,Residential,0.4843,0.144776,0.927178,0.289204,0.143934
1115.png,3,Residential,0.3142,0.062219,0.765008,0.124439,0.406341
1115.png,3,Residential,0.2856,0.066088,0.3738,0.132175,0.34258
1149.png,3,Residential,0.9119,0.519118,0.444846,0.344056,0.413349
1149.png,3,Residential,0.896,0.144097,0.442963,0.288193,0.423666
1149.png,3,Residential,0.8907,0.843852,0.365304,0.310511,0.435874
1173.png,3,Residential,0.9243,0.523925,0.430035,0.373729,0.416356
1173.png,3,Residential,0.9141,0.162479,0.42752,0.319204,0.43853
1173.png,3,Residential,0.9016,0.858681,0.417395,0.279536,0.470269
1173.png,3,Residential,0.6069,0.484632,0.929484,0.969263,0.141031
1176.png,3,Residential,0.9032,0.500947,0.490651,0.474986,0.409493
1176.png,3,Residential,0.8902,0.593026,0.122674,0.432896,0.245349
1176.png,3,Residential,0.8796,0.52356,0.87626,0.619881,0.246717
1211.png,3,Residential,0.8992,0.500742,0.441626,0.482706,0.336112
1211.png,3,Residential,0.8833,0.659078,0.10764,0.394991,0.205791
1211.png,3,Residential,0.141,0.495466,0.615257,0.473758,0.749872
1251.png,3,Residential,0.9103,0.512802,0.454236,0.426625,0.363537
1251.png,3,Residential,0.8414,0.526272,0.11167,0.472009,0.223339
1270.png,3,Residential,0.8488,0.482159,0.462767,0.384363,0.407925
1274.png,3,Residential,0.9318,0.499584,0.476455,0.435207,0.43761
1274.png,3,Residential,0.9276,0.858297,0.305006,0.278903,0.430734
1274.png,3,Residential,0.904,0.122716,0.531932,0.239788,0.393485
1274.png,3,Residential,0.8557,0.653195,0.931269,0.370169,0.136282
1274.png,3,Residential,0.5863,0.95063,0.899402,0.097825,0.200783
1283.png,0,Apartment,0.9399,0.453705,0.478262,0.514242,0.673062
1283.png,0,Apartment,0.9237,0.820487,0.324353,0.355688,0.318852
1283.png,0,Apartment,0.8916,0.899235,0.651079,0.201252,0.270932
1283.png,0,Apartment,0.1711,0.471705,0.669012,0.557836,0.278045
1290.png,3,Residential,0.9196,0.304766,0.163501,0.417353,0.327002
1290.png,3,Residential,0.9135,0.493505,0.457629,0.449605,0.405218
1290.png,3,Residential,0.9092,0.710944,0.736944,0.461866,0.453546
1290.png,0,Apartment,0.6478,0.176599,0.683068,0.349507,0.627524
1290.png,3,Residential,0.4722,0.798658,0.921633,0.402683,0.156497
1303.png,3,Residential,0.9147,0.509683,0.45929,0.522253,0.487854
1303.png,3,Residential,0.3166,0.969617,0.477687,0.060606,0.318546
1376.png,3,Residential,0.9301,0.608371,0.707432,0.412891,0.39774
1376.png,3,Residential,0.9299,0.327051,0.201104,0.369679,0.389212
1376.png,3,Residential,0.9267,0.472425,0.45131,0.409151,0.385609
1376.png,3,Residential,0.886,0.771101,0.885005,0.381687,0.225463
1384.png,3,Residential,0.9181,0.512789,0.471909,0.423036,0.410517
1384.png,3,Residential,0.7718,0.465723,0.885015,0.218398,0.229969
1384.png,3,Residential,0.4962,0.968254,0.883949,0.063492,0.230125
1384.png,3,Residential,0.1631,0.979824,0.45791,0.039926,0.335664
1410.png,3,Residential,0.9121,0.512745,0.443337,0.377436,0.409447
1410.png,3,Residential,0.8823,0.12448,0.452322,0.248959,0.457203
1410.png,3,Residential,0.856,0.890865,0.456878,0.210866,0.446583
1410.png,3,Residential,0.363,0.506147,0.036174,0.490051,0.072348
