epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33362,3.44817,4.53448,4.24664,0.00042,0.14733,0.0003,0.0001,3.03266,4.32384,4.15528,0.00026664,0.00026664,0.00026664
2,5.99985,3.29792,4.24379,4.13581,0.00047,0.16291,0.00041,0.00013,3.03611,4.36131,4.14125,0.000541695,0.000541695,0.000541695
3,7.61654,3.26223,3.95248,3.97841,0.00069,0.12323,0.00381,0.00066,3.07127,4.66104,4.15366,0.000814001,0.000814001,0.000814001
4,9.17348,3.16769,3.68405,3.74575,0.00068,0.16501,0.07959,0.03227,3.07632,4.87992,4.24684,0.00108356,0.00108356,0.00108356
5,10.784,3.0397,3.42253,3.48378,0.4459,0.01515,0.0135,0.00299,3.15033,4.35125,3.94094,0.001089,0.001089,0.001089
6,12.424,2.8585,3.22413,3.24943,0.8224,0.01818,0.01649,0.00459,3.0686,4.43259,4.03461,0.0010835,0.0010835,0.0010835
7,14.0438,2.63896,3.10885,3.07491,0.43324,0.04706,0.01227,0.00335,2.98549,4.48575,3.79437,0.001078,0.001078,0.001078
8,15.6366,2.55531,2.98137,2.93807,0.6879,0.07929,0.06136,0.01483,2.50346,3.34885,3.06948,0.0010725,0.0010725,0.0010725
9,17.1991,2.4275,2.96158,2.86808,0.83775,0.06313,0.10187,0.03465,2.34237,3.28151,3.04903,0.001067,0.001067,0.001067
10,18.7616,2.33491,2.82503,2.78481,0.65463,0.12121,0.06541,0.01973,2.26088,2.6722,2.96764,0.0010615,0.0010615,0.0010615
11,20.3294,2.24494,2.66852,2.69654,0.71604,0.12267,0.11259,0.04192,2.11373,2.28537,2.7156,0.00105601,0.00105601,0.00105601
12,21.9318,2.20569,2.61512,2.60674,0.54245,0.13987,0.14015,0.04627,2.19328,2.34195,2.76884,0.00105051,0.00105051,0.00105051
13,23.4697,2.15268,2.54711,2.5954,0.79414,0.13473,0.1435,0.05319,2.06423,2.22531,2.63353,0.00104501,0.00104501,0.00104501
14,25.1517,2.15171,2.51554,2.55343,0.74245,0.16863,0.1549,0.05993,2.0341,2.19032,2.64691,0.00103951,0.00103951,0.00103951
15,26.7768,2.10928,2.44309,2.52701,0.74312,0.21032,0.20089,0.07731,1.97845,2.03621,2.58949,0.00103401,0.00103401,0.00103401
16,28.3331,2.08372,2.43891,2.51792,0.53378,0.19993,0.15593,0.06626,1.99051,2.10201,2.60572,0.00102851,0.00102851,0.00102851
17,29.8732,2.03446,2.36214,2.46522,0.76638,0.14798,0.17154,0.07157,1.93001,2.21289,2.55028,0.00102301,0.00102301,0.00102301
18,31.4196,1.97327,2.29649,2.44324,0.74063,0.18054,0.14404,0.05774,1.9241,2.16751,2.54374,0.00101751,0.00101751,0.00101751
19,32.969,1.95893,2.26512,2.38108,0.55832,0.21365,0.18076,0.07429,1.83567,1.95981,2.46464,0.00101201,0.00101201,0.00101201
20,34.5476,1.93509,2.19849,2.33975,0.8085,0.17773,0.2083,0.08862,1.87046,1.90275,2.50862,0.00100651,0.00100651,0.00100651
21,36.1339,1.91552,2.22144,2.33808,0.61094,0.21739,0.19662,0.08845,1.8832,1.88369,2.5238,0.00100101,0.00100101,0.00100101
