epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35559,3.23749,4.142,4.09232,0.00103,0.1069,0.00118,0.00033,2.95562,3.99932,3.97617,0.000366027,0.000366027,0.000366027
2,9.27951,2.78705,3.3667,3.38758,0.81146,0.02561,0.00968,0.00261,2.80984,3.78462,3.6403,0.000734538,0.000734538,0.000734538
3,13.2628,2.37623,2.99558,2.87414,0.68121,0.10426,0.07355,0.02615,2.28641,2.65279,2.78726,0.00110122,0.00110122,0.00110122
4,17.068,2.17632,2.71737,2.63389,0.73185,0.09687,0.09647,0.03513,2.01781,2.52048,2.56995,0.00110275,0.00110275,0.00110275
5,20.849,1.98465,2.47679,2.45597,0.71602,0.17273,0.14928,0.06359,1.94715,2.1664,2.39763,0.0011,0.0011,0.0011
6,24.6982,1.85759,2.25464,2.32501,0.7614,0.18235,0.1709,0.07694,1.80915,2.06606,2.32865,0.00109725,0.00109725,0.00109725
7,28.5182,1.82714,2.11392,2.25934,0.76383,0.18386,0.1731,0.07708,1.78455,1.91312,2.29173,0.0010945,0.0010945,0.0010945
8,32.3568,1.7757,2.08894,2.21897,0.70449,0.18707,0.18589,0.09277,1.75626,1.97142,2.26705,0.00109175,0.00109175,0.00109175
9,36.2887,1.74934,2.02279,2.18371,0.74634,0.21486,0.23026,0.12015,1.63527,1.62628,2.06385,0.001089,0.001089,0.001089
10,40.1325,1.67921,1.91932,2.11602,0.80439,0.20594,0.22089,0.11485,1.59114,1.72639,2.07378,0.00108625,0.00108625,0.00108625
11,43.8813,1.64984,1.88195,2.09982,0.77277,0.1977,0.22061,0.11779,1.56034,1.55836,2.0084,0.0010835,0.0010835,0.0010835
12,47.6113,1.60611,1.78955,2.0419,0.69918,0.21043,0.20893,0.10991,1.50441,1.60705,1.98075,0.00108075,0.00108075,0.00108075
13,51.3695,1.58363,1.7429,2.02134,0.76987,0.22265,0.26457,0.1414,1.49471,1.62785,1.95604,0.001078,0.001078,0.001078
14,55.1388,1.61443,1.72956,2.04305,0.81206,0.20099,0.22819,0.12552,1.4797,1.50032,1.94556,0.00107525,0.00107525,0.00107525
15,58.9764,1.55818,1.70981,1.99606,0.73963,0.24822,0.24851,0.13722,1.52386,1.44451,1.91982,0.0010725,0.0010725,0.0010725
16,62.7155,1.55652,1.69791,1.99595,0.67653,0.26951,0.24613,0.13106,1.47829,1.59451,1.95016,0.00106975,0.00106975,0.00106975
17,66.5966,1.52747,1.65533,1.96323,0.62446,0.26073,0.2501,0.14087,1.42089,1.45971,1.8399,0.001067,0.001067,0.001067
18,70.3626,1.4852,1.62503,1.92573,0.81657,0.21404,0.25103,0.14639,1.47058,1.45009,1.87027,0.00106425,0.00106425,0.00106425
19,74.199,1.50912,1.63997,1.93834,0.64583,0.27358,0.27973,0.15386,1.44187,1.40284,1.9024,0.0010615,0.0010615,0.0010615
20,78.0073,1.49052,1.55075,1.92683,0.63872,0.26685,0.26089,0.14532,1.4457,1.44271,1.87529,0.00105876,0.00105876,0.00105876
21,81.8945,1.49708,1.58035,1.92943,0.65389,0.32813,0.29999,0.17685,1.41183,1.32202,1.85611,0.00105601,0.00105601,0.00105601
22,85.7043,1.48876,1.55311,1.91634,0.64419,0.31256,0.29233,0.17672,1.33837,1.25511,1.77153,0.00105326,0.00105326,0.00105326
23,89.4181,1.40709,1.48935,1.85535,0.65518,0.29959,0.27991,0.16872,1.46688,1.49346,1.87949,0.00105051,0.00105051,0.00105051
24,93.1221,1.4618,1.5048,1.88026,0.87,0.2305,0.30162,0.17922,1.32896,1.2461,1.77053,0.00104776,0.00104776,0.00104776
25,96.9048,1.45384,1.51217,1.87328,0.6148,0.35837,0.30788,0.1817,1.3052,1.19827,1.75661,0.00104501,0.00104501,0.00104501
26,100.705,1.43185,1.4912,1.86241,0.68338,0.33702,0.31284,0.19081,1.30155,1.1899,1.74206,0.00104226,0.00104226,0.00104226
27,104.57,1.42774,1.49176,1.83991,0.64175,0.31292,0.2893,0.17256,1.33282,1.23615,1.74026,0.00103951,0.00103951,0.00103951
28,108.316,1.39459,1.44105,1.82632,0.78998,0.29876,0.32142,0.19124,1.36776,1.17401,1.77023,0.00103676,0.00103676,0.00103676
29,112.095,1.42481,1.46995,1.835,0.68418,0.3177,0.32053,0.20038,1.29876,1.15623,1.70008,0.00103401,0.00103401,0.00103401
30,115.876,1.41025,1.44313,1.82919,0.69815,0.31478,0.32718,0.19317,1.33116,1.17132,1.72597,0.00103126,0.00103126,0.00103126
31,119.637,1.38368,1.37853,1.80458,0.66608,0.35513,0.34084,0.20797,1.3003,1.1045,1.71973,0.00102851,0.00102851,0.00102851
32,123.384,1.37843,1.40003,1.81263,0.68225,0.33839,0.32621,0.20127,1.31962,1.12146,1.74715,0.00102576,0.00102576,0.00102576
33,127.25,1.38854,1.3877,1.80142,0.67813,0.34553,0.33052,0.19218,1.36476,1.15723,1.76029,0.00102301,0.00102301,0.00102301
34,131.066,1.39556,1.44375,1.82043,0.69691,0.34114,0.33896,0.2101,1.30841,1.15859,1.72996,0.00102026,0.00102026,0.00102026
35,134.833,1.38385,1.37701,1.79926,0.76838,0.31394,0.34212,0.21188,1.29177,1.16708,1.70568,0.00101751,0.00101751,0.00101751
36,138.611,1.38334,1.36044,1.80864,0.70323,0.34406,0.33828,0.20666,1.24859,1.12664,1.6763,0.00101476,0.00101476,0.00101476
37,142.399,1.38117,1.41895,1.80815,0.70736,0.35065,0.34763,0.21408,1.27883,1.11141,1.73544,0.00101201,0.00101201,0.00101201
38,146.175,1.31833,1.36669,1.76016,0.70277,0.336,0.34763,0.21887,1.22168,1.0438,1.65559,0.00100926,0.00100926,0.00100926
