epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31552,3.44817,4.53448,4.24664,0.00042,0.14733,0.0003,0.0001,3.03266,4.32384,4.15528,0.00026664,0.00026664,0.00026664
2,6.0055,3.29091,4.24151,4.13468,0.00049,0.16291,0.00045,0.00013,3.03611,4.36276,4.14175,0.000543043,0.000543043,0.000543043
3,7.70168,3.26469,3.94875,3.97145,0.00071,0.11616,0.00187,0.00062,3.06474,4.51342,4.16351,0.00081807,0.00081807,0.00081807
4,9.36474,3.20574,3.71886,3.76175,0.00074,0.1197,0.00828,0.0032,3.11921,4.75149,4.18213,0.00109172,0.00109172,0.00109172
5,11.0307,3.07162,3.45144,3.50853,0.82877,0.02121,0.01552,0.00326,3.12724,4.53943,4.08036,0.0011,0.0011,0.0011
6,12.8194,2.85946,3.27064,3.27773,0.61829,0.03485,0.00758,0.00205,3.15932,5.07574,4.01048,0.00109725,0.00109725,0.00109725
7,14.412,2.63098,3.11754,3.10473,0.43813,0.08485,0.01971,0.00519,2.80836,4.56643,3.40914,0.0010945,0.0010945,0.0010945
8,16.0109,2.51051,3.01978,2.95463,0.47952,0.07828,0.04849,0.01249,2.70834,2.95304,3.3747,0.00109175,0.00109175,0.00109175
9,17.5547,2.39659,2.95225,2.86878,0.67196,0.09343,0.05071,0.01428,2.41311,3.15599,3.19425,0.001089,0.001089,0.001089
10,19.1171,2.31885,2.81107,2.79255,0.68786,0.11313,0.08153,0.02603,2.22381,2.64965,2.90078,0.00108625,0.00108625,0.00108625
11,20.6823,2.23515,2.6706,2.72846,0.49936,0.13857,0.10165,0.03544,2.14943,2.61594,2.87324,0.0010835,0.0010835,0.0010835
12,22.2446,2.1941,2.63432,2.62098,0.53495,0.14938,0.13235,0.04558,2.08251,2.33912,2.75126,0.00108075,0.00108075,0.00108075
13,23.774,2.11373,2.57261,2.59286,0.7588,0.12393,0.14774,0.05419,2.03133,2.2801,2.70692,0.001078,0.001078,0.001078
14,25.4291,2.08856,2.49133,2.54774,0.76478,0.16667,0.18368,0.07522,1.95587,2.16274,2.60737,0.00107525,0.00107525,0.00107525
15,26.9927,2.06189,2.43332,2.50733,0.73604,0.1907,0.14524,0.05821,1.95905,2.13685,2.61679,0.0010725,0.0010725,0.0010725
16,28.5141,2.0401,2.4398,2.52053,0.33259,0.24889,0.1441,0.05667,1.97243,2.15124,2.63902,0.00106975,0.00106975,0.00106975
17,30.0294,1.99255,2.30853,2.46161,0.74917,0.16263,0.14954,0.06341,1.88867,2.23124,2.54657,0.001067,0.001067,0.001067
18,31.5806,1.94612,2.30891,2.43327,0.56889,0.2327,0.16948,0.06675,2.0051,2.6002,2.67576,0.00106425,0.00106425,0.00106425
19,33.117,1.92682,2.23943,2.37272,0.57832,0.17879,0.1812,0.07702,1.87006,1.92956,2.51732,0.0010615,0.0010615,0.0010615
20,34.6188,1.91761,2.22983,2.34078,0.52379,0.21717,0.18023,0.07837,1.88005,1.91694,2.53322,0.00105876,0.00105876,0.00105876
21,36.1943,1.8965,2.21457,2.34851,0.60992,0.21517,0.20122,0.08809,1.86355,1.97754,2.51538,0.00105601,0.00105601,0.00105601
22,37.8786,1.87747,2.14686,2.35799,0.72319,0.23622,0.26342,0.11159,1.81971,1.90925,2.46065,0.00105326,0.00105326,0.00105326
23,39.3951,1.90202,2.15549,2.3703,0.6484,0.25612,0.21182,0.09034,1.8756,1.85434,2.55522,0.00105051,0.00105051,0.00105051
24,40.9206,1.82935,2.10258,2.26125,0.61165,0.25014,0.19199,0.08496,1.83004,1.9679,2.51074,0.00104776,0.00104776,0.00104776
25,42.4293,1.82814,2.03272,2.27762,0.58199,0.23528,0.20079,0.09598,1.71205,1.78945,2.3494,0.00104501,0.00104501,0.00104501
26,43.9395,1.81278,2.06344,2.26254,0.68665,0.28218,0.24853,0.10885,1.77465,1.90781,2.40033,0.00104226,0.00104226,0.00104226
27,45.4331,1.75966,1.98172,2.22655,0.71844,0.29615,0.29516,0.13654,1.69792,1.64105,2.32686,0.00103951,0.00103951,0.00103951
28,46.9822,1.78535,1.93359,2.22912,0.68066,0.27598,0.22585,0.11109,1.68459,1.77371,2.35078,0.00103676,0.00103676,0.00103676
29,48.4847,1.78359,1.93839,2.23951,0.81837,0.22677,0.30549,0.13683,1.7116,1.65199,2.37498,0.00103401,0.00103401,0.00103401
30,50.1431,1.75488,1.90927,2.17691,0.66938,0.25043,0.2807,0.1264,1.67467,1.66918,2.33048,0.00103126,0.00103126,0.00103126
31,51.6092,1.72313,1.93541,2.20476,0.66804,0.28809,0.28246,0.13905,1.70794,1.6829,2.35916,0.00102851,0.00102851,0.00102851
32,53.1594,1.75398,1.85416,2.20213,0.66156,0.26094,0.35667,0.15391,1.62997,1.63016,2.29207,0.00102576,0.00102576,0.00102576
33,54.6877,1.71116,1.86032,2.14564,0.61449,0.33074,0.25857,0.13532,1.59618,1.67916,2.26094,0.00102301,0.00102301,0.00102301
34,56.197,1.67304,1.86599,2.14169,0.6046,0.30631,0.31676,0.16169,1.64208,1.60296,2.27432,0.00102026,0.00102026,0.00102026
35,57.7427,1.70579,1.85297,2.13181,0.74243,0.27121,0.28217,0.14778,1.60454,1.65122,2.24,0.00101751,0.00101751,0.00101751
36,59.2507,1.68852,1.8731,2.12873,0.70736,0.3334,0.30039,0.1544,1.57995,1.57596,2.23872,0.00101476,0.00101476,0.00101476
37,60.7175,1.64238,1.89635,2.12381,0.71233,0.27915,0.31636,0.16839,1.61555,1.57885,2.26535,0.00101201,0.00101201,0.00101201
38,62.367,1.66955,1.78018,2.12249,0.67044,0.33365,0.29778,0.15849,1.57625,1.49024,2.22801,0.00100926,0.00100926,0.00100926
39,63.8791,1.66791,1.78695,2.11372,0.6297,0.27652,0.25995,0.13394,1.5678,1.56688,2.20583,0.00100651,0.00100651,0.00100651
40,65.3871,1.64214,1.77822,2.10251,0.66231,0.23357,0.2973,0.15966,1.62359,1.61609,2.28604,0.00100376,0.00100376,0.00100376
41,67.0712,1.61014,1.7638,2.08288,0.67843,0.29576,0.29816,0.15896,1.55566,1.48375,2.18901,0.00100101,0.00100101,0.00100101
42,68.5963,1.59602,1.75234,2.04647,0.6927,0.31039,0.34172,0.17668,1.57771,1.50353,2.18857,0.000998261,0.000998261,0.000998261
43,70.1288,1.609,1.72391,2.05701,0.73946,0.31252,0.35016,0.19429,1.51501,1.43943,2.13885,0.000995512,0.000995512,0.000995512
44,71.689,1.6386,1.70018,2.08398,0.64877,0.30391,0.28242,0.14809,1.50867,1.53486,2.17736,0.000992762,0.000992762,0.000992762
45,73.1799,1.61498,1.67279,2.05282,0.73906,0.31967,0.34695,0.1824,1.57598,1.47633,2.19847,0.000990012,0.000990012,0.000990012
46,74.814,1.61214,1.66786,2.05454,0.68368,0.27431,0.33662,0.18021,1.5307,1.47366,2.1728,0.000987262,0.000987262,0.000987262
47,76.3429,1.61597,1.7228,2.03963,0.70281,0.31223,0.48462,0.25956,1.51057,1.42625,2.14421,0.000984513,0.000984513,0.000984513
48,77.8831,1.58108,1.63532,2.01257,0.54271,0.35651,0.39364,0.22339,1.50474,1.33615,2.13449,0.000981763,0.000981763,0.000981763
49,79.3866,1.60216,1.67296,2.07971,0.65998,0.39263,0.35419,0.20244,1.47834,1.35622,2.14233,0.000979013,0.000979013,0.000979013
50,80.8697,1.59788,1.59708,2.05248,0.72088,0.3432,0.40025,0.22908,1.576,1.43508,2.23216,0.000976263,0.000976263,0.000976263
51,82.3917,1.60419,1.6354,2.0452,0.73228,0.33465,0.37098,0.21092,1.49973,1.31834,2.13843,0.000973514,0.000973514,0.000973514
52,83.9379,1.57014,1.69386,2.04344,0.74309,0.31486,0.37921,0.22583,1.39166,1.37316,2.04287,0.000970764,0.000970764,0.000970764
53,85.4596,1.55044,1.60367,2.01513,0.65473,0.37915,0.36884,0.21033,1.45554,1.34687,2.09888,0.000968014,0.000968014,0.000968014
54,87.1188,1.55322,1.6241,2.02097,0.72267,0.32807,0.39127,0.23885,1.51539,1.41777,2.16696,0.000965265,0.000965265,0.000965265
55,88.6588,1.5574,1.57624,2.02196,0.59816,0.47727,0.43962,0.27986,1.41321,1.27643,2.04175,0.000962515,0.000962515,0.000962515
56,90.2616,1.60917,1.63319,2.0381,0.73172,0.35873,0.36779,0.21025,1.42977,1.36901,2.0514,0.000959765,0.000959765,0.000959765
57,91.8361,1.53477,1.5772,2.00149,0.78391,0.35627,0.38126,0.23047,1.4198,1.352,2.06278,0.000957015,0.000957015,0.000957015
58,93.4204,1.5415,1.58479,2.00628,0.75101,0.35624,0.45179,0.27031,1.42052,1.32198,2.04013,0.000954266,0.000954266,0.000954266
59,94.9269,1.55074,1.55649,1.98688,0.77805,0.38289,0.47419,0.2887,1.35141,1.20754,1.99255,0.000951516,0.000951516,0.000951516
60,96.5076,1.52367,1.52934,1.96992,0.71326,0.35418,0.38714,0.23614,1.38208,1.29233,2.01888,0.000948766,0.000948766,0.000948766
61,98.0367,1.53955,1.53222,1.95385,0.75632,0.36688,0.42772,0.26419,1.35863,1.21756,1.97396,0.000946016,0.000946016,0.000946016
62,99.6644,1.4999,1.50052,1.94616,0.65569,0.5285,0.48648,0.31665,1.36972,1.21878,2.00114,0.000943267,0.000943267,0.000943267
63,101.187,1.51497,1.51925,1.95083,0.6917,0.40779,0.46985,0.3077,1.37001,1.29245,2.0028,0.000940517,0.000940517,0.000940517
64,102.725,1.51104,1.46003,1.95243,0.72216,0.34984,0.42743,0.26323,1.45518,1.31858,2.07661,0.000937767,0.000937767,0.000937767
65,104.229,1.48064,1.44853,1.93146,0.73677,0.42085,0.46851,0.29997,1.34969,1.16658,1.97298,0.000935018,0.000935018,0.000935018
66,105.73,1.49092,1.46885,1.93024,0.80153,0.34793,0.48611,0.31331,1.32897,1.14251,1.96122,0.000932268,0.000932268,0.000932268
67,107.246,1.50122,1.50012,1.95809,0.74628,0.38802,0.46072,0.28917,1.38847,1.21448,1.99977,0.000929518,0.000929518,0.000929518
68,108.747,1.46764,1.45327,1.92967,0.8212,0.32987,0.50467,0.31061,1.35592,1.1792,1.9678,0.000926768,0.000926768,0.000926768
69,110.273,1.46768,1.43729,1.9201,0.82206,0.35873,0.40725,0.24689,1.34491,1.18869,1.98913,0.000924019,0.000924019,0.000924019
70,111.884,1.4817,1.46458,1.93502,0.58959,0.39411,0.50806,0.31522,1.37563,1.1176,2.02033,0.000921269,0.000921269,0.000921269
71,113.374,1.4737,1.42707,1.92709,0.62901,0.35144,0.48445,0.29992,1.38818,1.15157,2.0254,0.000918519,0.000918519,0.000918519
72,114.88,1.46026,1.40792,1.90409,0.57071,0.5031,0.6444,0.46242,1.29255,1.13618,1.93169,0.00091577,0.00091577,0.00091577
73,116.406,1.44978,1.41738,1.89804,0.58258,0.4086,0.63472,0.39436,1.30763,1.06468,1.95261,0.00091302,0.00091302,0.00091302
74,117.859,1.45034,1.4136,1.88722,0.77564,0.41881,0.54367,0.35751,1.29505,1.08749,1.90553,0.00091027,0.00091027,0.00091027
75,119.417,1.44407,1.43622,1.90311,0.79149,0.40827,0.64534,0.3939,1.28488,1.17097,1.91536,0.00090752,0.00090752,0.00090752
76,120.922,1.46116,1.38315,1.89293,0.80268,0.39223,0.51995,0.33861,1.34821,1.10015,1.99944,0.000904771,0.000904771,0.000904771
77,122.412,1.44757,1.34707,1.89071,0.76899,0.38105,0.45982,0.29259,1.35239,1.16346,1.97225,0.000902021,0.000902021,0.000902021
78,124.006,1.4222,1.41991,1.90365,0.81618,0.43269,0.53658,0.35502,1.26929,1.05008,1.88815,0.000899271,0.000899271,0.000899271
