epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.055,3.28012,4.32491,4.15184,0.00043,0.27098,0.00027,7e-05,2.95902,4.02153,4.08232,0.000364262,0.000364262,0.000364262
2,25.3398,3.06609,3.61718,3.659,0.81134,0.01284,0.00407,0.00105,3.10586,6.28384,3.86088,0.000733141,0.000733141,0.000733141
3,34.2446,2.59738,3.22446,3.081,0.63544,0.12064,0.02295,0.00836,2.44721,22.5915,3.10654,0.00110055,0.00110055,0.00110055
4,43.1736,2.37236,2.97171,2.82106,0.65842,0.0737,0.04596,0.01489,2.42547,3.37919,3.10621,0.0011044,0.0011044,0.0011044
5,52.1425,2.15559,2.71949,2.60904,0.73468,0.15306,0.1359,0.05295,2.02398,2.53048,2.4964,0.0011022,0.0011022,0.0011022
6,61.0218,2.09413,2.59473,2.51361,0.50047,0.0951,0.12864,0.04722,2.13176,2.91553,2.68327,0.0011,0.0011,0.0011
7,69.7797,2.026,2.44469,2.43453,0.53123,0.16139,0.11608,0.04446,1.95882,2.32723,2.44984,0.0010978,0.0010978,0.0010978
8,78.6127,1.90595,2.35741,2.34096,0.54188,0.20746,0.18393,0.07785,1.89118,2.16748,2.29933,0.0010956,0.0010956,0.0010956
9,87.3007,1.85125,2.252,2.28806,0.5619,0.16488,0.1424,0.0607,1.88662,2.0633,2.30461,0.0010934,0.0010934,0.0010934
10,96.0078,1.83645,2.16082,2.2394,0.75832,0.22882,0.19984,0.08953,1.8399,2.09854,2.34796,0.0010912,0.0010912,0.0010912
11,105.353,1.7983,2.10931,2.21949,0.70371,0.21157,0.1903,0.09297,1.74577,1.94476,2.20272,0.001089,0.001089,0.001089
12,114.071,1.75495,2.08924,2.19004,0.76334,0.1908,0.1967,0.09538,1.7092,1.81543,2.12053,0.0010868,0.0010868,0.0010868
13,122.85,1.73784,2.0039,2.1595,0.80083,0.18621,0.203,0.10151,1.6477,1.72447,2.08707,0.0010846,0.0010846,0.0010846
14,131.65,1.67582,1.90291,2.08853,0.79854,0.21147,0.23019,0.11648,1.64767,1.73712,2.06138,0.0010824,0.0010824,0.0010824
